case_id,category,status,expected_status,passed,latency_ms
eval_053,schema_catalog,SUCCEEDED,SUCCEEDED,True,11.876
eval_054,schema_catalog,SUCCEEDED,SUCCEEDED,True,11.042
eval_055,schema_catalog,SUCCEEDED,SUCCEEDED,True,4.617
eval_056,schema_catalog,SUCCEEDED,SUCCEEDED,True,11.926
eval_057,schema_catalog,SUCCEEDED,SUCCEEDED,True,10.895
eval_058,schema_catalog,SUCCEEDED,SUCCEEDED,True,8.056
eval_059,schema_catalog,SUCCEEDED,SUCCEEDED,True,9.088
eval_060,schema_catalog,SUCCEEDED,SUCCEEDED,True,9.189
eval_061,schema_catalog,SUCCEEDED,SUCCEEDED,True,13.202
eval_062,schema_catalog,SUCCEEDED,SUCCEEDED,True,11.479
eval_063,schema_catalog,SUCCEEDED,SUCCEEDED,True,10.978
eval_064,schema_catalog,SUCCEEDED,SUCCEEDED,True,11.161
eval_065,schema_catalog,SUCCEEDED,SUCCEEDED,True,9.65
eval_066,schema_catalog,SUCCEEDED,SUCCEEDED,True,12.543
eval_067,schema_catalog,SUCCEEDED,SUCCEEDED,True,10.115
eval_068,schema_catalog,SUCCEEDED,SUCCEEDED,True,11.578
eval_069,schema_catalog,SUCCEEDED,SUCCEEDED,True,11.849
eval_070,schema_catalog,SUCCEEDED,SUCCEEDED,True,9.856
eval_071,schema_catalog,SUCCEEDED,SUCCEEDED,True,12.776
eval_072,schema_catalog,SUCCEEDED,SUCCEEDED,True,11.213
eval_073,schema_catalog,SUCCEEDED,SUCCEEDED,True,12.031
eval_074,schema_catalog,SUCCEEDED,SUCCEEDED,True,10.93
eval_075,schema_catalog,SUCCEEDED,SUCCEEDED,True,13.796
eval_076,schema_catalog,SUCCEEDED,SUCCEEDED,True,12.566
eval_077,schema_catalog,SUCCEEDED,SUCCEEDED,True,10.151
eval_078,schema_catalog,SUCCEEDED,SUCCEEDED,True,13.173
eval_079,schema_catalog,SUCCEEDED,SUCCEEDED,True,5.52
eval_080,schema_catalog,SUCCEEDED,SUCCEEDED,True,11.532
